id,source_id,set_id,updated_at
onepiece:optcg:OP09-004:ja,OP09-004,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-009:ja,OP09-009,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-011:ja,OP09-011,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-013:ja,OP09-013,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-027:ja,OP09-027,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-034:ja,OP09-034,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-043:ja,OP09-043,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-050:ja,OP09-050,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-065:ja,OP09-065,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-069:ja,OP09-069,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-076:ja,OP09-076,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-089:ja,OP09-089,P,2026-06-14 11:17:01.534819+00
onepiece:optcg:OP09-106:ja,OP09-106,P,2026-06-14 11:17:01.685215+00
onepiece:optcg:OP09-108:ja,OP09-108,P,2026-06-14 11:17:01.685215+00
onepiece:optcg:OP10-005:ja,OP10-005,P,2026-06-14 11:17:02.529636+00
onepiece:optcg:OP10-033:ja,OP10-033,P,2026-06-14 11:17:02.529636+00
onepiece:optcg:OP10-092:ja,OP10-092,P,2026-06-14 11:17:02.529636+00
onepiece:optcg:OP10-107:ja,OP10-107,P,2026-06-14 11:17:02.681378+00
onepiece:optcg:OP11-004:ja,OP11-004,P,2026-06-14 11:17:03.53003+00
onepiece:optcg:OP11-010:ja,OP11-010,P,2026-06-14 11:17:03.53003+00
onepiece:optcg:OP11-119:ja,OP11-119,P,2026-06-14 11:17:03.683433+00
onepiece:optcg:OP12-015:ja,OP12-015,P,2026-06-14 11:17:04.532532+00
onepiece:optcg:OP12-020:ja,OP12-020,P,2026-06-14 11:17:04.532532+00
