id,source_id,set_id,updated_at
onepiece:optcg:ST10-010:ja,ST10-010,P,2026-06-15 17:16:03.502381+00
onepiece:optcg:ST10-013:ja,ST10-013,P,2026-06-15 17:16:03.502381+00
onepiece:optcg:ST11-003:ja,ST11-003,P,2026-06-15 17:15:57.479419+00
onepiece:optcg:ST11-004:ja,ST11-004,P,2026-06-15 17:15:57.479419+00
onepiece:optcg:ST11-005:ja,ST11-005,P,2026-06-15 17:15:57.479419+00
onepiece:optcg:ST12-008:ja,ST12-008,P,2026-06-15 17:16:01.425326+00
onepiece:optcg:ST13-003:ja,ST13-003,P,2026-06-15 22:12:03.899087+00
onepiece:optcg:ST15-005:ja,ST15-005,P,2026-06-15 17:15:58.431643+00
onepiece:optcg:ST17-003:ja,ST17-003,P,2026-06-15 17:15:56.420159+00
onepiece:optcg:ST18-002:ja,ST18-002,P,2026-06-15 17:15:55.525524+00
onepiece:optcg:ST18-003:ja,ST18-003,P,2026-06-15 17:15:55.525524+00
onepiece:optcg:ST19-002:ja,ST19-002,P,2026-06-15 17:15:54.528532+00
onepiece:optcg:ST21-015:ja,ST21-015,P,2026-06-15 22:12:07.432223+00
